epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,211.971,0.95279,4.08099,1.58447,0,0,0,0,0.55101,4.75218,1.36908,0.0001,0.0001,0.0001
2,412.342,0.66959,3.72414,1.39731,0.02105,0.00957,0.00487,0.00439,1.64951,5.26299,2.09221,0.00020198,0.00020198,0.00020198
3,611.101,0.73672,3.32839,1.43317,0.3337,0.38129,0.2364,0.15789,1.19361,4.33303,1.94123,0.000301902,0.000301902,0.000301902
4,810.575,0.74422,2.94548,1.41479,0.46173,0.30671,0.32422,0.19606,1.50754,4.40509,2.15377,0.00038812,0.00038812,0.00038812
5,1011.1,0.7465,2.80568,1.41609,0.55749,0.4889,0.48572,0.37423,0.93019,3.8759,1.93502,0.00038416,0.00038416,0.00038416
6,1211.31,0.77056,2.4881,1.43435,0.47145,0.39715,0.42345,0.31922,0.98388,3.72766,1.79058,0.0003802,0.0003802,0.0003802
7,1410.11,0.77813,2.36472,1.43911,0.58862,0.41081,0.47699,0.33353,1.06199,3.29493,1.89994,0.00037624,0.00037624,0.00037624
8,1608.71,0.71182,2.19708,1.39762,0.64865,0.60938,0.68825,0.55385,0.86946,2.69217,1.7074,0.00037228,0.00037228,0.00037228
9,1807.22,0.7336,2.05786,1.40624,0.66124,0.58015,0.66936,0.50176,0.92046,2.85798,1.64369,0.00036832,0.00036832,0.00036832
10,2005.37,0.73021,1.93201,1.40811,0.50462,0.7813,0.76433,0.57181,0.92042,2.47091,1.6709,0.00036436,0.00036436,0.00036436
11,2204.76,0.74265,1.86667,1.39481,0.7876,0.60754,0.75511,0.57233,0.95268,2.43436,1.68661,0.0003604,0.0003604,0.0003604
12,2403.39,0.6639,1.81299,1.36321,0.56426,0.71619,0.77138,0.60692,0.85047,2.4288,1.65899,0.00035644,0.00035644,0.00035644
13,2599.44,0.65703,1.78993,1.3178,0.67427,0.69915,0.76088,0.57965,0.86586,2.36411,1.67806,0.00035248,0.00035248,0.00035248
14,2795.71,0.65085,1.62657,1.33225,0.66807,0.76655,0.79944,0.59881,0.97035,2.25706,1.71272,0.00034852,0.00034852,0.00034852
15,2991.62,0.68507,1.69312,1.34905,0.64543,0.73584,0.79178,0.62043,0.88167,2.15833,1.76694,0.00034456,0.00034456,0.00034456
16,3187.21,0.64905,1.57535,1.32235,0.62519,0.66241,0.75958,0.59195,0.92417,2.31501,1.63744,0.0003406,0.0003406,0.0003406
17,3380.69,0.68874,1.63657,1.34337,0.78836,0.6649,0.79619,0.62517,0.88087,2.17015,1.59676,0.00033664,0.00033664,0.00033664
18,3575.07,0.64319,1.47192,1.32025,0.76107,0.73427,0.80646,0.64339,0.8309,2.17136,1.58633,0.00033268,0.00033268,0.00033268
19,3767.91,0.62296,1.40773,1.28611,0.84229,0.70929,0.84043,0.68171,0.79989,1.89803,1.59084,0.00032872,0.00032872,0.00032872
20,3962.66,0.64391,1.38147,1.30949,0.74082,0.81268,0.88146,0.67603,0.84491,1.71406,1.64299,0.00032476,0.00032476,0.00032476
21,4157.91,0.61716,1.39202,1.28069,0.87177,0.78746,0.86822,0.7014,0.7965,1.63302,1.56628,0.0003208,0.0003208,0.0003208
22,4352.99,0.6126,1.27626,1.29828,0.82725,0.80441,0.88169,0.70208,0.84456,1.67275,1.57893,0.00031684,0.00031684,0.00031684
23,4547.76,0.60822,1.25473,1.26602,0.80175,0.82303,0.87856,0.70099,0.80792,1.73735,1.58,0.00031288,0.00031288,0.00031288
24,4742.14,0.60487,1.24134,1.27456,0.81143,0.77563,0.8662,0.68349,0.85864,1.63987,1.61253,0.00030892,0.00030892,0.00030892
25,4938.25,0.5696,1.24647,1.25414,0.88198,0.75576,0.87534,0.68419,0.85648,1.72778,1.5907,0.00030496,0.00030496,0.00030496
26,5132.76,0.60611,1.19641,1.28509,0.85728,0.84423,0.89859,0.71395,0.83059,1.47305,1.65257,0.000301,0.000301,0.000301
27,5325.97,0.59106,1.13885,1.26449,0.77859,0.85561,0.86916,0.67903,0.85377,1.52644,1.64697,0.00029704,0.00029704,0.00029704
28,5520.38,0.56161,1.07809,1.24711,0.74059,0.86722,0.86676,0.69469,0.83256,1.50793,1.5715,0.00029308,0.00029308,0.00029308
